tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,DAstUQL5rKyKP3TRaBSf4hyLjAsUlo5di0YgFGjovfpukQ,Ordinary peoples,323,181,163,False,False,True,False
GRANDMASTER,fc1O2AID3lBEVuQmyp0xEzG4170fGILvJf7MB5BL8le3VA,볼빵빵 다람쥐,292,313,293,False,False,True,True
GRANDMASTER,brfWKnx5XfJGSHFjUlTeSHdo9yZlf3gfUbtJ6fV0azjq9Ec,cherish1124,509,102,72,False,False,False,False
GRANDMASTER,8X8EwXgydjLQ7XkTZmkfU5-ho44ZDuVC5-HV8h9r-jcAkLU,love bai bai,221,105,91,False,False,True,False
GRANDMASTER,rBj8mzQ4vIrhNys1l4SP80KOdiQZhg6Zqrdmb9k9HmafDg,ubbu,419,80,55,False,False,False,False
GRANDMASTER,BGt3ZBCSeWav3k8F9lj2SbLYKW32NUyEjfIoz1MFWsyyB3c,리하우,344,158,146,False,False,False,False
GRANDMASTER,xsD4e-2AXmgVYljYu1131iSWIHoqoZ0NBvU70m4vLKK_RXg,Yuiii,360,99,80,False,False,True,False
GRANDMASTER,D0z3Y0gVlknhU_Hp_rp9qa6j8Gr5WKiUHa_BymHXz0A4c5w,블랙 키리,272,203,185,False,False,True,False
GRANDMASTER,VB8ZIOXVRhGTY1cteLT3ZnLgKlIAKflXQ_pPxywhWZfiwwQ,캐 인,402,171,185,False,False,False,False
GRANDMASTER,T7vgETzPTX7A4u3eEZy-xYh-fzCVGMTPbdLivI52pVR2ykM,준라가스,324,160,150,True,False,False,False
GRANDMASTER,5wpEDhf9T9b-YakaFDDugvNM0_k8h4fGj-IYG725-Vi8QrA,wrsIt,291,107,87,False,False,False,False
GRANDMASTER,qxl0wDBkpmECfxrYs6DxFHX2-aiKyknR9fH02SKBWKRVoq8,IM Karas,418,259,234,True,False,False,False
GRANDMASTER,4oR8eonLttNDqUJc5lDkBfhgykBGPkXPnFtLS6xhNGUaV4U,맥스 노예,538,252,199,False,False,True,False
GRANDMASTER,_hDkLvz-kiD7p0STjQpYmrCRoUX6wfl72V3OuT2NVJT2oks,Gen G Frim,204,354,350,False,False,True,True
GRANDMASTER,bOCRUmSTG7kt-W-2Ez9rpapp6qgV7Upew2p0LkX2Kafomw,려창동,603,262,227,True,False,False,True
GRANDMASTER,Pl0VN59Y6G5Akk8Hg9NACZg-UBidgiILDtw5GIEVXSmuHaU,jug242,303,95,84,True,False,False,False
GRANDMASTER,2W8hVUyXO_TwoYSVNQ9uzd2qkE6LcwqZIMXH8Mh5b4tJ1g,디에나,497,215,206,False,False,True,False
GRANDMASTER,2ox7uJ7aBOMdNvt67T68lFdSTb30uMG4f9QnaruWEk1UFoA,Remika,324,256,244,False,False,False,False
GRANDMASTER,li6KkAcZHEQ6Uym9w-jZfQEK-7dOJdHIr2xCTz2cwwWRM0M,TaylorSwift98,307,105,86,False,False,True,False
GRANDMASTER,1toFFbLKC7FelO6wKQY1Bwjgchd8d_JMVrinKYP_zGGVwbo,H2O Man,566,182,157,False,False,True,False
GRANDMASTER,hAEImukPcPpPOW14NtyBKLziC0hwh1hnaAOeCOjDCeI2YrI,물다이아123,210,84,64,False,False,False,False
GRANDMASTER,kta03VX99G_Y1izA8lXZaw8n7nKZ5Ks-J2o984weKHPCMcw,Twitch TV donko,517,377,345,True,False,False,True
GRANDMASTER,Sy-FYTRtHErCjcXT75Yt-74RTxF4d4GvsWfYin36zysMvGM,쭌 베 fans,545,343,333,True,False,False,True
GRANDMASTER,HPyLYRip48KuCexXccPZriEN6dXWiuwOzC_ufWK5NPE274Y,qtsupport,300,161,140,False,False,False,False
